Project.clutch.ID,Breeding.year,Common.species,Latin.species,Analyses.breeding.habitat.type,Region.Country,Region.County,county,Region.central.longitude.coordinate,Region.central.latitude.coordinate,Clutch.size,Clutch.no.eggs.Hatched,Clutch.no.eggs.Failed,Clutch.no.eggs.Abandoned,Clutch.no.eggs.Predated,Clutch.no.eggs.Damaged,Clutch.no.eggs.Unknown,Phase.1.failed.only,Phase.2.failed.only,Phase.3.failed.only,NA.and.Unknown.embryo.mortality.data.failed.only,Phase.1.failedandabandoned,Phase.2.failedandabandoned,Phase.3.failedandabandoned,NA.and.Unknown.embryo.mortality.data.failedandabandoned,Hatched,Incubation.type
Headstart.Clutch.24,2023,Eurasian Curlew,Numenius arquata,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.25,2023,Eurasian Curlew,Numenius arquata,Military,England,Cambridgeshire,['Cambridgeshire'],-0.2351,52.3497,3,2,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.26,2023,Eurasian Curlew,Numenius arquata,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.27,2023,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.28,2023,Eurasian Curlew,Numenius arquata,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.29,2023,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,Headstart
Headstart.Clutch.30,2023,Eurasian Curlew,Numenius arquata,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.31,2023,Eurasian Curlew,Numenius arquata,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.32,2023,Eurasian Curlew,Numenius arquata,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,2,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.33,2023,Eurasian Curlew,Numenius arquata,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.34,2023,Eurasian Curlew,Numenius arquata,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,2,1,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,1,Headstart
Headstart.Clutch.35,2023,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.36,2023,Eurasian Curlew,Numenius arquata,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,3,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.37,2023,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.38,2023,Eurasian Curlew,Numenius arquata,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.39,2023,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,3,2,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.40,2023,Eurasian Curlew,Numenius arquata,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.41,2023,Eurasian Curlew,Numenius arquata,Military,England,NA,NA,NA,NA,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.42,2023,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,0,3,0,0,0,1,2,0,0,1,NA,NA,NA,NA,0,Headstart
